Title,URL,Stars,Description,Category
Blender,https://github.com/xprilion/genkit-mcp-client-blender,0,MCP Client via Firebase Genkit GeminiAn MCP Client for interfacing with the Blender MCP Server built with Firebase Genkit and Gemini,Client
Coco,https://github.com/infinilabs/coco-app,0,"AI AppCoco AI App - Search, Connect, Collaborate, Your Personal AI Search and Assistant, all in one space.",Client
K,https://github.com/Kiln AI/kiln-ai,0,"ILN-AIKiln is a free tool for building production-ready AI systems. It supports RAG pipelines, evaluations, agents, MCP tool-calling, synthetic data generation, and fine-tuning.  - Seamlessly connect agents and tools through MCP servers/interfaces   - Build, fine-tune, and run models locally or remotely   - Generate synthetic data, orchestrate evaluations, and manage datasets   - Collaborate across technical and non-technical stakeholders via Git-based workflows   - Use a free, open source Python library to embed Kiln into your own systems   - Maintain data privacy: Kiln runs locally; external APIs are called only via your own keys     **Website / Docs:** https://kiln.tech",Client
Aider,https://github.com/alvinveroy/aider-mcp-client,0,MCP Client: Supercharge Your Coding with AI-Powered DocumentationA Python tool to query Context7 MCP for library docs. Integrates with Aider for AI coding. Install via pip install mcp_query and fetch docs easily.,Client
M,https://github.com/alessandrodorazio/mcp-client-server,0,CP ClientA sample code to use Model Context Protocol with Claude APIs,Client
Agentica,https://github.com/Wrtnlabs/Agentica,0,"Agentica is an open-source framework that makes working with AI agents simple and reliable. It helps you integrate structured function calls with Large Language Models (LLMs) without the usual headaches.  Built around Typia's robust JSON Schema validation, Agentica eliminates the common frustrations of building agent systems - no more dealing with unpredictable outputs or complex integration challenges.",Client
Roo,https://github.com/RooCodeInc/Roo-Code,0,Code (prev. Roo Cline)Roo Code (prev. Roo Cline) gives you a whole dev team of AI agents in your code editor.,Client
Smolagents🤗 smolagents: a barebones library for agents that think in code.,https://github.com/huggingface/smolagents,0,,Client
Gemini,https://github.com/duke7able/gemini-mcp-desktop-client,0,MCP Desktop Clientfirst gemini based desktop client for MCP,Client
Chorus,https://github.com/Chorus/chorus,0,"Chat with Claude, o1, Gemini, DeepSeek, and others all at once. The best models, as soon as they come out, in one app.",Client
Pydantic,https://github.com/box-community/box-mcp-pydantic-ai,0,AI and Box MCPThis project is a demo of how to use the Box MCP server with Pydantic AI agents. The use case is a policy analyzer.,Client
Ask,https://github.com/obrr-hhx/AskAnything,0,Anything侧边栏AI助手浏览器插件，集成MCP,Client
Organi,https://github.com/kabrony/claude-agent-mcp,0,X AgentPersonal agent with cross-platform capabilities and MCP integration using Claude 3.7,Client
🚀,https://github.com/jayjeo/obsidian-milvus-FastMCP,0,Obsidian-Milvus-FastMCPobsidian-milvus-FastMCP,Client
M,https://github.com/edanyal/mcp-client,0,CP ClientTypescript mcp client library.,Client
Tiny,https://github.com/gnosis23/tiny-mcp-client,0,Mcp ClientThis is a client implementation based on the Model Context Protocol (MCP),Client
Flutter + dart_mcp +,https://github.com/leehack/flutter-mcp-ai-chat,0,AI Desktop App DemoDemonstrate how to implement MCP Client in Flutter application with AI.,Client
🚀,https://github.com/nicozumarraga/light-mcp-agents,0,"Light MCP AgentsLightweight, composable framework for building muti-agent systems with Model Context Protocol (MCP)",Client
mcp-client-ref,https://github.com/ananis25/mcp-client-ref,0,TUI to test model context protocol servers,Client
F,https://github.com/dd/f,0,Fdd,Client
Experimental,https://github.com/minyang-chen/seat-booking-agent,0,Seat Booking AgentExperimental Seat Booking Agent implementation using OpenAI Agents SDK and Autogen memory and MCP tools support,Client
T,https://mcp.so/client/Trae,0,TRAEShip faster with Trae.,Client
U,https://github.com/Alex/undatasio,0,"NDATASIO_MCPUnlock flawless, AI-ready data with guaranteed ROI. undatasio's new engine offers unrivaled accuracy and speed, all on a secure platform. Our revolutionary model means you only pay for results.",Client
Mcp-,https://github.com/dynamiclu/Mcp-ChatBI,0,ChatBI基于 Mcp 架构的 ChatBI，是一种数据分析智能体解决方案,Client
A,https://github.com/aingdesk/AingDesk,0,"INGDESKAingDesk是一款简单好用的AI助手，支持知识库、模型API、分享、联网搜索、智能体，它还在飞快成长中。 AingDesk is a simple and easy-to-use AI assistant that supports knowledge bases, model APIs, sharing, internet search, and intelligent agents. It is still growing rapidly.",Client
Start — deco.cx template,https://github.com/deco-sites/vertex-mcp-3,0,Powered by deco.cx,Client
M,https://github.com/faraazahmad/mcp_debug,0,CP Debug ClientPostman for your MCP server with a Claude chat that calls your tools,Client
Git,https://github.com/GitBook/gitbook,0,"BookPersonalized, intelligent docs — tailored to every user, powered by AI.",Client
Moo,https://mcp.so/client/moopoint,0,"PointA web-hosted AI chat platform available at moopoint.io, designed for developers and advanced users to interact with multiple large language models (LLMs) through a single, unified interface. The platform allows seamless integration with custom MCP servers and gives users secure control over their own API keys for providers such as OpenAI, Anthropic, and others.",Client
A,https://github.com/aingdesk/AingDesk,0,"INGDESKAingDesk是一款简单好用的AI助手，支持知识库、模型API、分享、联网搜索、智能体，它还在飞快成长中。 AingDesk is a simple and easy-to-use AI assistant that supports knowledge bases, model APIs, sharing, internet search, and intelligent agents. It is still growing rapidly.",Client
M,https://github.com/swairshah/claude-cli-mcp-client,0,CP ClientBasic CLI mcp client which can use server.config,Client
A,https://mcp.so/client/5ire,0,Sleek  AI Assistant & MCP  ClientSimplicity and user-friendliness are at the core of our design. We understand the importance of an intuitive interface and have ensured that even novice can find it extremely easy to harness the power of these large language models.,Client
Saiki,https://github.com/truffle-ai/saiki,0,"A customizable, general purpose AI Agent that supports MCP. Talk to Saiki in natural language to control computers, applications and more!",Client
Ai,https://github.com/AiPy/aipy-pro,0,"Py ProAiPy, using Python, gives AI hands, open source, local deployment, in addition to helping you think, can also help you work, becoming your super artificial intelligence assistant! From now on, you only need to tell your ideas, AiPy will help you analyze local data, operate local applications, and give you the final result!",Client
Tanzu,https://github.com/cpage-pivotal/cf-mcp-client,0,Platform Chat: AI Chat Client for Cloud FoundryTanzu Platform Chat,Client
Online,https://github.com/web-mcp/online-mcp-inspector,0,MCP Inspector: Web-Based Tool for Testing & DebuggingTest and debug your MCP (Model Context Protocol) servers directly in your browser. No installation or command line needed. Simplify MCP development with our online inspector.,Client
W,https://github.com/Writingmate/writingmate.ai,0,"RITINGMATE.AIWritingmate.ai is an advanced AI platform designed to help individuals and businesses automate writing tasks, streamline workflows, and enhance productivity by leveraging a wide range of state-of-the-art text and text-to-image AI models. It serves as a unified hub, providing access to over 200 AI models from leading providers such as OpenAI, Anthropic, Stability AI, and Meta, all under a single subscription.",Client
Vibeframe -,https://github.com/taggartbg/vibeframe,0,MCP UI for VS CodeVSCode Extension to enable UIs for MCP Servers (SSE),Client
Unified,https://github.com/pietrozullo/mcp-use,0,MCP Client Librarymcp-use is the easiest way to interact with mcp servers with custom agents,Client
🚀,https://github.com/Abiorh001/mcp_omni_connect,0,"MCPOmni Connect - Universal Gateway to MCP ServersMCPOmni Connect is an agent execution runtime that connects to multiple MCP servers via stdio, SSE, or streamable HTTP. It supports chat, autonomous agents, and planner-based orchestration treating each MCP server as a tool agent to enable dynamic multi-agent workflows across LLM systems, and can be embedded in FastAPI or backend systems.",Client
N,https://github.com/jmand626/473-MCPProject,0,ASA API Integration with MCPThe MCP Project for CSE 473 Winter 2025. Coded with the assistance of Cursor AI and Claude 3.7,Client
项目简介实现,https://github.com/MrNiebit/hot-topic-mcp,0,MCP的服务端，获取各大平台的热搜,Client
chat.md:,https://github.com/rusiaaman/chat.md,0,The Hacker's AI Chat Interface [Experimental]An md file as a chat interface and editable history in one.,Client
A,https://github.com/NitroRCr/ai-as-workspace,0,"I as WorkspaceA cross-platform, full-featured and lightweight AI Chat client with full support for MCP.",Client
🚀,https://github.com/quazaai/UnityMCPIntegration,0,Advacned Unity MCP IntegrationEnable AI Agents to Control Unity,Client
张张晓莹111,https://github.com/11/张晓莹,0,,Client
Cobolt,https://github.com/platinum-hill/cobolt,0,This is a cross-platform desktop application that allows you to chat with locally hosted LLMs and enjoy features like MCP support,Client
agentic-slackbot,https://github.com/John-Lin/agentic-slackbot,0,An agentic Slack bot with MCP support.,Client
M,https://github.com/jinruoxinchen/mcp-web-client,0,CP Web ClientMCP Web Client project,Client
Bedrock,https://github.com/juspay/Bedrock-MCP-Connector,0,MCP ConnectorA connector to connect agentic models to MCP tools,Client
M,https://github.com/Kin-10/MCP_LLM,0,CP_LLM使用大模型结合mcp协议,Client
M,https://github.com/Eugene Pyvovarov/mcp-bundler-for-macos,0,"MCP Bundler for MacOSRUN ALL YOUR MCP SERVERS FROM ONE APP.  Start, stop, or switch MCP servers instantly.  Use the same MCP toolset in every AI app — no re-adding, no hassle.  Stop wasting time configuring MCP servers again and again.  Without MCP Bundler, every MCP client needs its own server setup. Iv every AI app with MCP support. MCP Bundler centralizes all your MCP servers — toggle, group, turn off capabilities instantly. Switch bundles on the fly inside the MCP Bundler.",Client
A,https://github.com/lalanikarim/langgraph-mcp-pipeline,0,"I Image Generation Pipeline with LangGraph and MCPA demonstration of using LangGraph with MCP for generating prompts and AI-generated images, including Human-in-the-Loop interaction.",Client
Hermes,https://github.com/cloudwalk/hermes-mcp,0,MCPElixir Model Context Protocol (MCP) SDK,Client
M,https://github.com/yonaka15/mcp-client-demo,0,CP Client DemoA demo implementation of a Model Context Protocol (MCP) client using Web Workers and Server-Sent Events (SSE).,Client
n8n-nodes-mcp-clientn8n custom node for,https://github.com/nerding-io/n8n-nodes-mcp,0,MCP,Client
项目简介实现,https://github.com/umuo/hot-topic-mcp,0,MCP的服务端，获取各大平台的热搜,Client
M,https://github.com/craigsdennis/openai-responses-mcp-client-enabled,0,CP via the OpenAI Responses APIMakes use of the new OpenAI MCP tool and your remote MCP Server,Client
auto-mcp-client基于,https://github.com/down-to-earth1994/auto-mcp-client,0,Spring AI 封装了 mcp-client 服务，目的使web网页智能体也能通过 stdio 和 HTTP SSE（Server-Sent Events） 与 MCP Server 进行交互。项目实现了自动化的连接管理机制，包括自动初始化连接、健康检查、超时关闭以及链接复用等功能,Client
Console,https://github.com/amidabuddha/console-chat-gpt,0,Chat GptPython CLI for AI Chat with MCP support,Client
refactored-octo-parakeet,https://github.com/RGGH/refactored-octo-parakeet,0,MCP Demo,Client
c,https://github.com/RussellLuo/cmcp,0,MCPA command-line utility for interacting with MCP servers.,Client
L,https://github.com/Lingma/lingma,0,"LINGMALingma is an AI coding assistant powered by Alibaba Cloud that transforms the way developers work. Lingma offers core features like Code Completion, Ask, Multi-file Edits and Code Agent to help you stay focused. Lingma also provide enhanced enterprise security and customizable capabilities, empowering your teams to collaborate seamlessly and code faster.",Client
Simtheory,https://github.com/Simtheory/simtheory,0,"AI workspace platform that provides unified access to multiple frontier AI models, assistants with persistent memory, and integrated tools for web search, document analysis, code creation, and data visualization. Features team collaboration capabilities, screen sharing for context, voice interaction, and MCP integrations for connecting external apps and services. Designed for individuals, teams, enterprises, and educational institutions who want to avoid vendor lock-in while maintaining secure, collaborative AI workflows across different models and tools.",Client
M,https://github.com/aswincandra/fast-mcp-client,0,CP FastAPI ClientMCP Client Implemented to FastAPI,Client
Roo-,https://github.com/jodobear/sparcaroo,0,Code Agents & MCP SetupRoo-Code Agents & MCP Setup,Client
Deepin,https://github.com/toberyan/deepin-mcp,0,MCPdeepin-mcp-python,Client
Remote,https://github.com/AnyContext-ai/remote-mcp-chat,0,MCP ChatSimple LLM-based chat with connection to remote MCP servers,Client
P,https://github.com/SWIS/php-mcp-client,0,HP MCP ClientModel Context Protocol client implementation for PHP,Client
Mistr.,https://github.com/itisaevalex/mistr-agent,0,AgentA MCP client that enables Mistral AI models to autonomously execute complex tasks across web and local environments through standardized agentic capabilities.,Client
Install,https://github.com/Dhravya/install-mcp,0,MCP CLIA simple CLI to install MCP servers into any client,Client
Fast,https://github.com/evalstate/fast-agent,0,"AgentDefine, Prompt and Test MCP enabled Agents and Workflows",Client
Toolbase,https://github.com/Toolbase-AI/toolbase,0,A desktop application that adds powerful tools to Claude and AI platforms,Client
Zola,https://github.com/ibelick/zola,0,"The open-source interface for AI chat. Self-hostable, developer-first, and model-agnostic.",Client
M,https://github.com/AI-QL/chat-mcp,0,CP Chat Desktop AppA Desktop Chat App that leverages MCP(Model Context Protocol) to interface with other LLMs.,Client
Easy,https://github.com/mshojaei77/EasyMCP,0,"MCPA beginner-friendly client for the MCP (Model Context Protocol). Connect to SSE, NPX, and UV servers, and integrate with OpenAI for dynamic tool interactions. Perfect for exploring server connections and chat enhancements.",Client
Evo,https://github.com/EvolutionAPI/evo-ai,0,"AI - AI Agents PlatformEvo AI is an open-source platform for creating and managing AI agents, enabling integration with different AI models and services.",Client
M,https://github.com/keli-wen/mcp_chatbot,0,CPChatbot ExampleA chatbot implementation compatible with MCP (terminal / streamlit supported),Client
Claude,https://github.com/IMNMV/ClaudeR,0,RR MCP Integration for Claude,Client
prodex-js,https://github.com/tarasyarema/prodex-js,0,The ultimate vide coding MCP!,Client
"codename goosean open source, extensible",https://github.com/block/goose,0,"AI agent that goes beyond code suggestions - install, execute, edit, and test with any LLM",Client
M,https://github.com/fkesheh/mcp-ai-agent,0,CP AI AgentA TypeScript library that enables AI agents to leverage MCP (Model Context Protocol) servers for enhanced capabilities. This library integrates with the AI SDK to provide a seamless way to connect to MCP servers and use their tools in AI-powered applications.,Client
Where,https://github.com/HazyResearch/minions,0,On-Device and Cloud LLMs MeetBig & Small LLMs working together,Client
Osmosis-,https://github.com/Gulp-AI/Osmosis-MCP-4B-demo,0,MCP-4BAn Open Source SLM Trained for MCP,Client
Groq,https://github.com/groq/groq-desktop-beta,0,DesktopLocal Groq Desktop chat app with MCP support,Client
Systemprompt,https://github.com/Ejb503/multimodal-mcp-client,0,Multimodal MCP ClientA Multi-modal MCP client for voice powered agentic workflows,Client
Nerve,https://github.com/evilsocket/nerve,0,The Simple Agent Development Kit.,Client
M,https://github.com/williamvd4/mcp-client-cli,0,CP CLI clientA simple CLI to run LLM prompt and implement MCP client.,Client
P,https://mcp.so/client/playwright-mcp,0,LAYWRIGHT-MCPThis MCP Server will help you run browser automation and webscraping using Playwright,Client
Ollama,https://github.com/mihirrd/ollama-mcp-client,0,MCP (Model Context Protocol)MCP client for local ollama models,Client
Drission,https://github.com/wxhzhwxhzh/DrssionPageMCP,0,Page MCP Server -- 骚神出品基于DrissionPage和FastMCP的浏览器自动化MCP服务器，提供丰富的浏览器操作API供AI调用,Client
tinyagents,https://github.com/albertvillanova/tinyagents,0,Tiny Agents: LLM + MCP Tools,Client
Coolify,https://github.com/wrediam/n8n-coolify-mcp-tools,0,MCP WorkflowThis workflow leverages the Community n8n MCP Client and my new Coolify MCP Server to interact with your Coolify infrastructure using MCP (Model Context Protocol).,Client
Proteus,https://github.com/alishangtian/proteus-ai,0,Workflow Engine一个强大的、可扩展的多智能体工作流引擎，支持Multi-Agent系统、auto-workflow、MCP-SERVER接入等功能，支持多种工具和资源，提供智能代理和自动化服务执行。,Client
Mattermost,https://github.com/jagan-shanmugam/mattermost-mcp-host,0,"MCP HostA Mattermost integration that connects to Model Context Protocol (MCP) servers, leveraging a LangGraph-based Agent.",Client
codemcp,https://github.com/ezyang/codemcp,0,Coding assistant MCP for Claude Desktop,Client
Axiom -,https://github.com/aasherkamal216/Axiom,0,"A Docs Expert AgentA documentation AI Agent built with LangGraph, MCP Docs, and Chainlit, designed to help users create different projects using natural language.",Client
Anirudh's,https://github.com/kamath/chat,0,ChatA simple NextJS MCP client with sensible keybindings,Client
高德地址解析服务大模型搭配高德mcp的地址服务,https://github.com/blacsheep/LLM-Amap-mcp,0,,Client
Install,https://github.com/supermemoryai/install-mcp,0,MCP CLIA simple CLI to install MCP servers into any client,Client
airbnb_mcpairbnb_mcp,https://github.com/Sakil786/airbnb_mcp,0,,Client
oneshot,https://github.com/Destiner/oneshot,0,Anthropic MCP client for macOS,Client
M,https://github.com/mark3labs/mcphost,0,CPHost 🤖A CLI host application that enables Large Language Models (LLMs) to interact with external tools through the Model Context Protocol (MCP).,Client
Carrot,https://github.com/Xingsandesu/CarrotAI,0,"AICarrotAI is a cutting-edge AI agent application that delivers real-time streaming chat via Server-Sent Events (SSE) with built-in Model Control Protocol (MCP) integration. It supports concurrent connections to multiple SSE MCP servers and provides user interfaces in English, Chinese, and Japanese.",Client
Seek,https://github.com/seekrays/seekchat,0,Chat✨ A Sleek and Powerful AI Desktop Assistant that supports MCP integration✨,Client
L,https://github.com/binarybana/easyrag,0,"LM RAGEasy RAG scripts for a local, embedded, MCP-enabled knowledge store.",Client
Download,https://github.com/shuakami/mcp-download,0,MCP 工具📥 MCP Download Tool - AI-powered file download manager | 基于 MCP 的智能下载管理工具,Client
pydantic-mcp,https://github.com/rectalogic/pydantic-mcp,0,Model Context Protocol tool calling support for Pydantic AI,Client
Libre,https://github.com/danny-avila/LibreChat,0,"ChatEnhanced ChatGPT Clone: Features Agents, DeepSeek, Anthropic, AWS, OpenAI, Assistants API, Azure, Groq, o1, GPT-4o, Mistral, OpenRouter, Vertex AI, Gemini, Artifacts, AI model switching, message search, Code Interpreter, langchain, DALL-E-3, OpenAPI Actions, Functions, Secure Multi-User Auth, Presets, open-source for self-hosting. Active project.",Client
Tester,https://github.com/apify/tester-mcp-client,0,Client for Model Context Protocol (MCP)Model Context Protocol (MCP) Client for Apify's Actors,Client
A,https://github.com/Study944/AI-Agent-Zxc,0,I智能体项目基于SpringAI框架实现模型调用、RAG、ToolCalling和MCP，实现一个可以解决复杂问题，自主调用工具的智能体,Client
mcp-cli,https://github.com/wong2/mcp-cli,0,A CLI inspector for the Model Context Protocol,Client
Gen,https://github.com/microsoft/genaiscript,0,AIScriptAutomatable GenAI Scripting,Client
M,https://github.com/RegiByte/mcp-client-app,0,CP Client ApplicationA mcp client chat application built for learning purposes,Client
C,https://github.com/MaitreyaM/Clap-Agents,0,LAP - Cognitive Layer Agent PackagePowerful Asynchronous Multi agent framework built from scratch in python supporting RAG and MCP compatibilities.,Client
M,https://github.com/Fbeunder/MCP_CLI_CLIENT,0,CP CLI ClientEen lokale MCP host en client die met meerdere LLM's en meerdere MCP servers kan werken.,Client
Sekora,https://github.com/Sekora/sekora-gitlab-mcp,0,GitLab MCP Complete GitLab MCP integration with 72 specialized tools for comprehensive DevOps management,Client
Unified,https://github.com/mcp-use/mcp-use,0,MCP Client Librarymcp-use is the easiest way to interact with mcp servers with custom agents,Client
Requirements:,https://github.com/rairai77/weather-tool-with-mcp,0,MCP Weather Tool,Client
小红书,https://github.com/jobsonlook/xhs-mcp,0,MCP服务小红书MCP服务 x-s x-t js逆向,Client
